algorithm,tier,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
Ascon-AEAD128,pure-python,32,encrypt,1,1651,456
Ascon-AEAD128,pure-python,32,encrypt,2,1651,456
Ascon-AEAD128,pure-python,32,encrypt,3,1651,456
Ascon-AEAD128,pure-python,32,encrypt,4,1651,456
Ascon-AEAD128,pure-python,32,encrypt,5,1651,456
Ascon-AEAD128,pure-python,32,encrypt,6,1651,456
Ascon-AEAD128,pure-python,32,encrypt,7,1651,456
Ascon-AEAD128,pure-python,32,encrypt,8,1651,456
Ascon-AEAD128,pure-python,32,encrypt,9,1651,456
Ascon-AEAD128,pure-python,32,encrypt,10,1651,456
Ascon-AEAD128,pure-python,32,decrypt,1,1851,512
Ascon-AEAD128,pure-python,32,decrypt,2,1851,512
Ascon-AEAD128,pure-python,32,decrypt,3,1851,512
Ascon-AEAD128,pure-python,32,decrypt,4,1851,512
Ascon-AEAD128,pure-python,32,decrypt,5,1851,512
Ascon-AEAD128,pure-python,32,decrypt,6,1851,512
Ascon-AEAD128,pure-python,32,decrypt,7,1851,512
Ascon-AEAD128,pure-python,32,decrypt,8,1851,512
Ascon-AEAD128,pure-python,32,decrypt,9,1851,512
Ascon-AEAD128,pure-python,32,decrypt,10,1851,512
Ascon-AEAD128,pure-python,64,encrypt,1,1711,456
Ascon-AEAD128,pure-python,64,encrypt,2,1711,456
Ascon-AEAD128,pure-python,64,encrypt,3,1711,456
Ascon-AEAD128,pure-python,64,encrypt,4,1711,456
Ascon-AEAD128,pure-python,64,encrypt,5,1711,456
Ascon-AEAD128,pure-python,64,encrypt,6,1711,456
Ascon-AEAD128,pure-python,64,encrypt,7,1711,456
Ascon-AEAD128,pure-python,64,encrypt,8,1711,456
Ascon-AEAD128,pure-python,64,encrypt,9,1711,456
Ascon-AEAD128,pure-python,64,encrypt,10,1711,456
Ascon-AEAD128,pure-python,64,decrypt,1,1943,512
Ascon-AEAD128,pure-python,64,decrypt,2,1943,512
Ascon-AEAD128,pure-python,64,decrypt,3,1943,512
Ascon-AEAD128,pure-python,64,decrypt,4,1943,512
Ascon-AEAD128,pure-python,64,decrypt,5,1943,512
Ascon-AEAD128,pure-python,64,decrypt,6,1943,512
Ascon-AEAD128,pure-python,64,decrypt,7,1943,512
Ascon-AEAD128,pure-python,64,decrypt,8,1943,512
Ascon-AEAD128,pure-python,64,decrypt,9,1943,512
Ascon-AEAD128,pure-python,64,decrypt,10,1943,512
Ascon-AEAD128,pure-python,128,encrypt,1,1843,456
Ascon-AEAD128,pure-python,128,encrypt,2,1843,456
Ascon-AEAD128,pure-python,128,encrypt,3,1843,456
Ascon-AEAD128,pure-python,128,encrypt,4,1843,456
Ascon-AEAD128,pure-python,128,encrypt,5,1843,456
Ascon-AEAD128,pure-python,128,encrypt,6,1843,456
Ascon-AEAD128,pure-python,128,encrypt,7,1843,456
Ascon-AEAD128,pure-python,128,encrypt,8,1843,456
Ascon-AEAD128,pure-python,128,encrypt,9,1843,456
Ascon-AEAD128,pure-python,128,encrypt,10,1843,456
Ascon-AEAD128,pure-python,128,decrypt,1,2139,512
Ascon-AEAD128,pure-python,128,decrypt,2,2139,512
Ascon-AEAD128,pure-python,128,decrypt,3,2139,512
Ascon-AEAD128,pure-python,128,decrypt,4,2139,512
Ascon-AEAD128,pure-python,128,decrypt,5,2139,512
Ascon-AEAD128,pure-python,128,decrypt,6,2139,512
Ascon-AEAD128,pure-python,128,decrypt,7,2139,512
Ascon-AEAD128,pure-python,128,decrypt,8,2139,512
Ascon-AEAD128,pure-python,128,decrypt,9,2139,512
Ascon-AEAD128,pure-python,128,decrypt,10,2139,512
Ascon-AEAD128,pure-python,256,encrypt,1,2099,456
Ascon-AEAD128,pure-python,256,encrypt,2,2099,456
Ascon-AEAD128,pure-python,256,encrypt,3,2099,456
Ascon-AEAD128,pure-python,256,encrypt,4,2099,456
Ascon-AEAD128,pure-python,256,encrypt,5,2099,456
Ascon-AEAD128,pure-python,256,encrypt,6,2099,456
Ascon-AEAD128,pure-python,256,encrypt,7,2099,456
Ascon-AEAD128,pure-python,256,encrypt,8,2099,456
Ascon-AEAD128,pure-python,256,encrypt,9,2099,456
Ascon-AEAD128,pure-python,256,encrypt,10,2099,456
Ascon-AEAD128,pure-python,256,decrypt,1,2523,512
Ascon-AEAD128,pure-python,256,decrypt,2,2523,512
Ascon-AEAD128,pure-python,256,decrypt,3,2523,512
Ascon-AEAD128,pure-python,256,decrypt,4,2523,512
Ascon-AEAD128,pure-python,256,decrypt,5,2523,512
Ascon-AEAD128,pure-python,256,decrypt,6,2523,512
Ascon-AEAD128,pure-python,256,decrypt,7,2523,512
Ascon-AEAD128,pure-python,256,decrypt,8,2523,512
Ascon-AEAD128,pure-python,256,decrypt,9,2523,512
Ascon-AEAD128,pure-python,256,decrypt,10,2523,512
Ascon-AEAD128,pure-python,512,encrypt,1,2643,456
Ascon-AEAD128,pure-python,512,encrypt,2,2643,456
Ascon-AEAD128,pure-python,512,encrypt,3,2643,456
Ascon-AEAD128,pure-python,512,encrypt,4,2643,456
Ascon-AEAD128,pure-python,512,encrypt,5,2643,456
Ascon-AEAD128,pure-python,512,encrypt,6,2643,456
Ascon-AEAD128,pure-python,512,encrypt,7,2643,456
Ascon-AEAD128,pure-python,512,encrypt,8,2643,456
Ascon-AEAD128,pure-python,512,encrypt,9,2643,456
Ascon-AEAD128,pure-python,512,encrypt,10,2643,456
Ascon-AEAD128,pure-python,512,decrypt,1,3323,512
Ascon-AEAD128,pure-python,512,decrypt,2,3323,512
Ascon-AEAD128,pure-python,512,decrypt,3,3323,512
Ascon-AEAD128,pure-python,512,decrypt,4,3323,512
Ascon-AEAD128,pure-python,512,decrypt,5,3323,512
Ascon-AEAD128,pure-python,512,decrypt,6,3323,512
Ascon-AEAD128,pure-python,512,decrypt,7,3323,512
Ascon-AEAD128,pure-python,512,decrypt,8,3323,512
Ascon-AEAD128,pure-python,512,decrypt,9,3323,512
Ascon-AEAD128,pure-python,512,decrypt,10,3323,512
Ascon-AEAD128,pure-python,1024,encrypt,1,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,2,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,3,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,4,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,5,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,6,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,7,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,8,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,9,3977,456
Ascon-AEAD128,pure-python,1024,encrypt,10,3977,456
Ascon-AEAD128,pure-python,1024,decrypt,1,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,2,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,3,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,4,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,5,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,6,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,7,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,8,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,9,5169,512
Ascon-AEAD128,pure-python,1024,decrypt,10,5169,512
Ascon-AEAD128,pure-python,2048,encrypt,1,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,2,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,3,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,4,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,5,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,6,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,7,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,8,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,9,7049,456
Ascon-AEAD128,pure-python,2048,encrypt,10,7049,456
Ascon-AEAD128,pure-python,2048,decrypt,1,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,2,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,3,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,4,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,5,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,6,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,7,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,8,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,9,9265,512
Ascon-AEAD128,pure-python,2048,decrypt,10,9265,512
Ascon-AEAD128,pure-python,4096,encrypt,1,13193,456
