algorithm,tier,plaintext_size,ciphertext_size,tag_bytes,nonce_bytes,expansion_bytes,wire_overhead_bytes,overhead_percent
Ascon-AEAD128,pure-python,32,48,16,16,16,32,50.0
Ascon-AEAD128,pure-python,64,80,16,16,16,32,33.333333333333336
Ascon-AEAD128,pure-python,128,144,16,16,16,32,20.0
Ascon-AEAD128,pure-python,256,272,16,16,16,32,11.11111111111111
Ascon-AEAD128,pure-python,512,528,16,16,16,32,5.882352941176471
Ascon-AEAD128,pure-python,1024,1040,16,16,16,32,3.0303030303030303
Ascon-AEAD128,pure-python,2048,2064,16,16,16,32,1.5384615384615385
Ascon-AEAD128,pure-python,4096,4112,16,16,16,32,0.7751937984496124
TinyJAMBU-128,pure-python,32,40,8,12,8,20,38.46153846153846
TinyJAMBU-128,pure-python,64,72,8,12,8,20,23.80952380952381
TinyJAMBU-128,pure-python,128,136,8,12,8,20,13.513513513513514
TinyJAMBU-128,pure-python,256,264,8,12,8,20,7.246376811594203
TinyJAMBU-128,pure-python,512,520,8,12,8,20,3.7593984962406015
TinyJAMBU-128,pure-python,1024,1032,8,12,8,20,1.9157088122605364
TinyJAMBU-128,pure-python,2048,2056,8,12,8,20,0.9671179883945842
TinyJAMBU-128,pure-python,4096,4104,8,12,8,20,0.4859086491739553
Xoodyak,pure-python,32,48,16,16,16,32,50.0
Xoodyak,pure-python,64,80,16,16,16,32,33.333333333333336
Xoodyak,pure-python,128,144,16,16,16,32,20.0
Xoodyak,pure-python,256,272,16,16,16,32,11.11111111111111
Xoodyak,pure-python,512,528,16,16,16,32,5.882352941176471
Xoodyak,pure-python,1024,1040,16,16,16,32,3.0303030303030303
Xoodyak,pure-python,2048,2064,16,16,16,32,1.5384615384615385
Xoodyak,pure-python,4096,4112,16,16,16,32,0.7751937984496124
Schwaemm256-128,pure-python,32,48,16,32,16,48,60.0
Schwaemm256-128,pure-python,64,80,16,32,16,48,42.857142857142854
Schwaemm256-128,pure-python,128,144,16,32,16,48,27.272727272727273
Schwaemm256-128,pure-python,256,272,16,32,16,48,15.789473684210526
Schwaemm256-128,pure-python,512,528,16,32,16,48,8.571428571428571
Schwaemm256-128,pure-python,1024,1040,16,32,16,48,4.477611940298507
Schwaemm256-128,pure-python,2048,2064,16,32,16,48,2.2900763358778624
Schwaemm256-128,pure-python,4096,4112,16,32,16,48,1.1583011583011582
GIFT-COFB,pure-python,32,48,16,16,16,32,50.0
GIFT-COFB,pure-python,64,80,16,16,16,32,33.333333333333336
GIFT-COFB,pure-python,128,144,16,16,16,32,20.0
GIFT-COFB,pure-python,256,272,16,16,16,32,11.11111111111111
GIFT-COFB,pure-python,512,528,16,16,16,32,5.882352941176471
GIFT-COFB,pure-python,1024,1040,16,16,16,32,3.0303030303030303
GIFT-COFB,pure-python,2048,2064,16,16,16,32,1.5384615384615385
GIFT-COFB,pure-python,4096,4112,16,16,16,32,0.7751937984496124
AES-128-CCM,pure-python,32,48,16,12,16,28,46.666666666666664
AES-128-CCM,pure-python,64,80,16,12,16,28,30.434782608695652
AES-128-CCM,pure-python,128,144,16,12,16,28,17.94871794871795
AES-128-CCM,pure-python,256,272,16,12,16,28,9.859154929577464
AES-128-CCM,pure-python,512,528,16,12,16,28,5.185185185185185
AES-128-CCM,pure-python,1024,1040,16,12,16,28,2.661596958174905
AES-128-CCM,pure-python,2048,2064,16,12,16,28,1.348747591522158
AES-128-CCM,pure-python,4096,4112,16,12,16,28,0.6789524733268671
AES-128-GCM,native-c,32,48,16,12,16,28,46.666666666666664
AES-128-GCM,native-c,64,80,16,12,16,28,30.434782608695652
AES-128-GCM,native-c,128,144,16,12,16,28,17.94871794871795
AES-128-GCM,native-c,256,272,16,12,16,28,9.859154929577464
AES-128-GCM,native-c,512,528,16,12,16,28,5.185185185185185
AES-128-GCM,native-c,1024,1040,16,12,16,28,2.661596958174905
AES-128-GCM,native-c,2048,2064,16,12,16,28,1.348747591522158
AES-128-GCM,native-c,4096,4112,16,12,16,28,0.6789524733268671
