algorithm,tier,role,message_size,operation,samples,repetitions,batch_size,mean_ns,median_ns,stdev_ns,min_ns,max_ns,ci95_half_width_ns,ci95_lower_ns,ci95_upper_ns,mean_us,median_us,between_run_stdev_ns,throughput_mb_s_mean,throughput_mb_s_median,operations_per_second,ciphertext_size
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),32,decrypt,1000,10,1,225267.188,208380.5,43283.9872582648,196583.0,526867.0,2682.769324616542,222584.41867538347,227949.95732461652,225.267188,208.3805,23926.77596132221,0.14205353333571155,0.153565232831287,4439.172916740986,48
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),32,encrypt,1000,10,1,216200.036,206534.5,22296.86731666224,196175.0,414086.0,1381.9741539815018,214818.06184601848,217582.0101539815,216.20003599999998,206.5345,6041.633191914991,0.14801107618686984,0.1549377948962522,4625.346130839683,48
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),64,decrypt,1000,10,1,302921.963,293585.0,25011.985858628323,274115.0,444311.0,1550.2589446968802,301371.7040553031,304472.22194469685,302.921963,293.585,8708.146606519987,0.2112755356731925,0.21799478856208593,3301.180244893633,80
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),64,encrypt,1000,10,1,298926.648,289153.0,22987.97933564479,273387.0,444797.0,1424.8097207082287,297501.83827929175,300351.4577207082,298.926648,289.153,7210.777781405948,0.2140993465393557,0.22133610925703692,3345.302289677433,80
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),128,decrypt,1000,10,1,489560.617,464692.5,300848.9937551592,428360.0,8055771.0,18646.813819907096,470913.80318009295,508207.4308199071,489.56061700000004,464.6925,54585.14163659334,0.26145894002744097,0.275450970265283,2042.6479689643825,144
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),128,encrypt,1000,10,1,466189.908,463322.0,37147.97428521549,427410.0,818917.0,2302.4553003718684,463887.45269962813,468492.36330037186,466.189908,463.322,7930.648399760122,0.27456621819449595,0.2762657503852612,2145.0485796444996,144
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),256,decrypt,1000,10,1,804287.564,794804.0,48342.21869695731,739587.0,1408525.0,2996.2817572759,801291.2822427241,807283.8457572759,804.287564,794.804,15145.779590524146,0.31829411700315685,0.3220919874585433,1243.3363945435815,272
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),256,encrypt,1000,10,1,802570.197,789411.5,59600.9293704554,739380.0,1509924.0,3694.103874479905,798876.0931255202,806264.3008744799,802.570197,789.4115,18231.61355506543,0.318975213578732,0.32429221008308085,1245.9969280419218,272
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),512,decrypt,1000,10,1,1519840.743,1474812.0,195775.70512171538,1383718.0,3015481.0,12134.30391871821,1507706.439081282,1531975.0469187181,1519.840743,1474.812,86633.46683939437,0.33687740137125666,0.34716289262631445,657.9636745532357,528
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),512,encrypt,1000,10,1,1489892.725,1465187.0,110424.73488634735,1388892.0,2522886.0,6844.195976317797,1483048.5290236822,1496736.920976318,1489.8927250000002,1465.187,34023.67822313758,0.34364890264163145,0.34944344988045895,671.1892629719364,528
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),1024,decrypt,1000,10,1,2847357.099,2799714.0,289015.84432739235,2665557.0,8878477.0,17913.387619843812,2829443.711380156,2865270.4866198436,2847.357099,2799.714,73207.84879919485,0.35963174424438427,0.36575164463227317,351.20287523865653,1040
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),1024,encrypt,1000,10,1,2872736.773,2820529.5,295007.55781507614,2663981.0,8739463.0,18284.757869325156,2854452.015130675,2891021.530869325,2872.736773,2820.5295,117626.38013780925,0.3564545173871383,0.3630523984946798,348.1001146358772,1040
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),2048,decrypt,1000,10,1,5516200.981,5447274.5,299029.5318490977,5262753.0,8443368.0,18534.042402621406,5497666.938597378,5534735.023402621,5516.200981,5447.2745,63343.59223287795,0.3712700112004857,0.37596783492368524,181.28418515648715,2064
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),2048,encrypt,1000,10,1,5549141.938,5461957.0,376412.33963428607,5255097.0,11451021.0,23330.278519689426,5525811.659480311,5572472.216519689,5549.141938,5461.957,131479.09846804925,0.3690660687511864,0.3749571810982767,180.20804138241525,2064
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),4096,decrypt,1000,10,1,10887755.732,10745806.5,629317.3113545015,10400978.0,21479300.0,39005.491067129944,10848750.24093287,10926761.22306713,10887.755732000001,10745.8065,193492.54103110332,0.37620241497166607,0.3811719483316585,91.84629271769191,4112
AES-128-CCM,pure-python,Deployed IoT AEAD (IEEE 802.15.4 / Zigbee / BLE),4096,encrypt,1000,10,1,10994685.109,10797164.0,867742.6923129953,10417141.0,21503433.0,53783.24928124468,10940901.859718755,11048468.358281244,10994.685109,10797.164,278390.672615213,0.3725436389849044,0.37935887609005475,90.95303686154892,4112
AES-128-GCM,native-c,"Established baseline (NIST SP 800-38D, OpenSSL + AES-NI)",32,decrypt,250,10,20,982.6488,925.2,273.35242591492454,889.1,2976.25,33.885117777085036,948.763682222915,1016.5339177770851,0.9826488000000001,0.9252,27.344690017950064,32.56504256658126,34.587116299178554,1017657.5802056645,48
