algorithm,tier,messages,repetition,encrypt_us_mean,decrypt_us_mean,round_trip_us_mean,messages_per_second,mean_payload_bytes,mean_aad_bytes,mean_wire_bytes,overhead_percent
Ascon-AEAD128,pure-python,400,1,509.75865250000004,511.30757,1021.0662225000001,979.3684072239496,87.6875,56.8875,176.575,50.33979895228656
TinyJAMBU-128,pure-python,400,1,1141.5768725,1142.6769625,2284.253835,437.7797181196371,87.6875,56.8875,164.575,46.718821206137015
Xoodyak,pure-python,400,1,1104.460335,1103.5646325,2208.0249675,452.8934295214214,87.6875,56.8875,176.575,50.33979895228656
Schwaemm256-128,pure-python,400,1,797.7092974999999,797.1028299999999,1594.8121274999999,627.0331048758595,87.6875,56.8875,192.575,54.465792548357776
GIFT-COFB,pure-python,400,1,3159.8923125,3160.7321275,6320.62444,158.21221613350596,87.6875,56.8875,176.575,50.33979895228656
AES-128-CCM,pure-python,400,1,388.10526500000003,385.5772925,773.6825575,1292.5197683547362,87.6875,56.8875,172.575,49.188758510792404
AES-128-GCM,native-c,400,1,1.1391600000000002,1.0704200000000001,2.2095800000000003,452574.6974538147,87.6875,56.8875,172.575,49.188758510792404
Ascon-AEAD128,pure-python,400,2,516.994825,511.645605,1028.64043,972.1570053395627,87.4325,56.8875,176.32,50.41260208711433
TinyJAMBU-128,pure-python,400,2,1154.6633175,1151.9586625000002,2306.62198,433.534410350152,87.4325,56.8875,164.32,46.79132181110029
Xoodyak,pure-python,400,2,1107.461545,1107.9815925,2215.4431375,451.3769652099681,87.4325,56.8875,176.32,50.41260208711433
Schwaemm256-128,pure-python,400,2,809.54864,806.6678525,1616.2164925,618.7289912214529,87.4325,56.8875,192.32,54.53800956738768
GIFT-COFB,pure-python,400,2,3241.8203525,3242.3140725,6484.134425,154.2225892394265,87.4325,56.8875,176.32,50.41260208711433
AES-128-CCM,pure-python,400,2,457.67021,454.360285,912.030495,1096.454565370646,87.4325,56.8875,172.32,49.261548282265544
AES-128-GCM,native-c,400,2,1.1025425,1.120725,2.2232675,449788.43076687807,87.4325,56.8875,172.32,49.261548282265544
Ascon-AEAD128,pure-python,400,3,579.2798975,578.16135,1157.4412475,863.9747392448099,87.2425,56.8875,176.13,50.46698461363764
TinyJAMBU-128,pure-python,400,3,1137.850355,1138.8638625,2276.7142175,439.229479182536,87.2425,56.8875,164.13,46.84548833241942
Xoodyak,pure-python,400,3,1136.0899375,1133.3307224999999,2269.4206599999998,440.64109295629663,87.2425,56.8875,176.13,50.46698461363764
Schwaemm256-128,pure-python,400,3,795.411505,796.757785,1592.16929,628.0739154314426,87.2425,56.8875,192.13,54.59194295529068
GIFT-COFB,pure-python,400,3,3190.025945,3209.4132400000003,6399.439185,156.26369297233973,87.2425,56.8875,176.13,50.46698461363764
AES-128-CCM,pure-python,400,3,389.32203000000004,388.27997999999997,777.6020100000001,1286.004906288758,87.2425,56.8875,172.13,49.31592401092197
AES-128-GCM,native-c,400,3,1.2329949999999998,1.05013,2.283125,437996.16753353406,87.2425,56.8875,172.13,49.31592401092197
