algorithm,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
AES-128-GCM,32,encrypt,1,81,0
AES-128-GCM,32,encrypt,2,81,0
AES-128-GCM,32,encrypt,3,81,0
AES-128-GCM,32,encrypt,4,81,0
AES-128-GCM,32,encrypt,5,81,0
AES-128-GCM,32,encrypt,6,81,0
AES-128-GCM,32,encrypt,7,81,0
AES-128-GCM,32,encrypt,8,81,0
AES-128-GCM,32,encrypt,9,81,0
AES-128-GCM,32,encrypt,10,81,0
AES-128-GCM,32,encrypt,11,81,0
AES-128-GCM,32,encrypt,12,81,0
AES-128-GCM,32,encrypt,13,81,0
AES-128-GCM,32,encrypt,14,81,0
AES-128-GCM,32,encrypt,15,81,0
AES-128-GCM,32,encrypt,16,81,0
AES-128-GCM,32,encrypt,17,81,0
AES-128-GCM,32,encrypt,18,81,0
AES-128-GCM,32,encrypt,19,81,0
AES-128-GCM,32,encrypt,20,81,0
AES-128-GCM,32,decrypt,1,65,0
AES-128-GCM,32,decrypt,2,65,0
AES-128-GCM,32,decrypt,3,65,0
AES-128-GCM,32,decrypt,4,65,0
AES-128-GCM,32,decrypt,5,65,0
AES-128-GCM,32,decrypt,6,65,0
AES-128-GCM,32,decrypt,7,65,0
AES-128-GCM,32,decrypt,8,65,0
AES-128-GCM,32,decrypt,9,65,0
AES-128-GCM,32,decrypt,10,65,0
AES-128-GCM,32,decrypt,11,65,0
AES-128-GCM,32,decrypt,12,65,0
AES-128-GCM,32,decrypt,13,65,0
AES-128-GCM,32,decrypt,14,65,0
AES-128-GCM,32,decrypt,15,65,0
AES-128-GCM,32,decrypt,16,65,0
AES-128-GCM,32,decrypt,17,65,0
AES-128-GCM,32,decrypt,18,65,0
AES-128-GCM,32,decrypt,19,65,0
AES-128-GCM,32,decrypt,20,65,0
AES-128-GCM,64,encrypt,1,113,0
AES-128-GCM,64,encrypt,2,113,0
AES-128-GCM,64,encrypt,3,113,0
AES-128-GCM,64,encrypt,4,113,0
AES-128-GCM,64,encrypt,5,113,0
AES-128-GCM,64,encrypt,6,113,0
AES-128-GCM,64,encrypt,7,113,0
AES-128-GCM,64,encrypt,8,113,0
AES-128-GCM,64,encrypt,9,113,0
AES-128-GCM,64,encrypt,10,113,0
AES-128-GCM,64,encrypt,11,113,0
AES-128-GCM,64,encrypt,12,113,0
AES-128-GCM,64,encrypt,13,113,0
AES-128-GCM,64,encrypt,14,113,0
AES-128-GCM,64,encrypt,15,113,0
AES-128-GCM,64,encrypt,16,113,0
AES-128-GCM,64,encrypt,17,113,0
AES-128-GCM,64,encrypt,18,113,0
AES-128-GCM,64,encrypt,19,113,0
