algorithm,plaintext_size,ciphertext_size,tag_bytes,nonce_bytes,expansion_bytes,wire_overhead_bytes,overhead_percent
AES-128-GCM,32,48,16,12,16,28,87.5
AES-128-GCM,64,80,16,12,16,28,43.75
AES-128-GCM,128,144,16,12,16,28,21.875
AES-128-GCM,256,272,16,12,16,28,10.9375
AES-128-GCM,512,528,16,12,16,28,5.46875
AES-128-GCM,1024,1040,16,12,16,28,2.734375
AES-128-GCM,2048,2064,16,12,16,28,1.3671875
AES-128-GCM,4096,4112,16,12,16,28,0.68359375
Ascon-AEAD128,32,48,16,16,16,32,100.0
Ascon-AEAD128,64,80,16,16,16,32,50.0
Ascon-AEAD128,128,144,16,16,16,32,25.0
Ascon-AEAD128,256,272,16,16,16,32,12.5
Ascon-AEAD128,512,528,16,16,16,32,6.25
Ascon-AEAD128,1024,1040,16,16,16,32,3.125
Ascon-AEAD128,2048,2064,16,16,16,32,1.5625
Ascon-AEAD128,4096,4112,16,16,16,32,0.78125
