algorithm,message_size,operation,samples,mean_peak_bytes,median_peak_bytes,min_peak_bytes,max_peak_bytes
AES-128-GCM,32,decrypt,20,65.0,65.0,65,65
AES-128-GCM,64,decrypt,20,97.0,97.0,97,97
AES-128-GCM,128,decrypt,20,161.0,161.0,161,161
AES-128-GCM,256,decrypt,20,321.0,321.0,321,321
AES-128-GCM,512,decrypt,20,577.0,577.0,577,577
AES-128-GCM,1024,decrypt,20,1089.0,1089.0,1089,1089
AES-128-GCM,2048,decrypt,20,2113.0,2113.0,2113,2113
AES-128-GCM,4096,decrypt,20,4161.0,4161.0,4161,4161
Ascon-AEAD128,32,decrypt,20,5011.0,5011.0,5011,5011
Ascon-AEAD128,64,decrypt,20,5107.0,5107.0,5107,5107
Ascon-AEAD128,128,decrypt,20,5299.0,5299.0,5299,5299
Ascon-AEAD128,256,decrypt,20,5683.0,5683.0,5683,5683
Ascon-AEAD128,512,decrypt,20,6569.0,6569.0,6569,6569
Ascon-AEAD128,1024,decrypt,20,8617.0,8617.0,8617,8617
Ascon-AEAD128,2048,decrypt,20,12713.0,12713.0,12713,12713
Ascon-AEAD128,4096,decrypt,20,20905.0,20905.0,20905,20905
AES-128-GCM,32,encrypt,20,81.0,81.0,81,81
AES-128-GCM,64,encrypt,20,113.0,113.0,113,113
AES-128-GCM,128,encrypt,20,177.0,177.0,177,177
AES-128-GCM,256,encrypt,20,305.0,305.0,305,305
AES-128-GCM,512,encrypt,20,561.0,561.0,561,561
AES-128-GCM,1024,encrypt,20,1073.0,1073.0,1073,1073
AES-128-GCM,2048,encrypt,20,2097.0,2097.0,2097,2097
AES-128-GCM,4096,encrypt,20,4145.0,4145.0,4145,4145
Ascon-AEAD128,32,encrypt,20,4795.0,4795.0,4795,4795
Ascon-AEAD128,64,encrypt,20,4859.0,4859.0,4859,4859
Ascon-AEAD128,128,encrypt,20,4987.0,4987.0,4987,4987
Ascon-AEAD128,256,encrypt,20,5243.0,5243.0,5243,5243
Ascon-AEAD128,512,encrypt,20,5873.0,5873.0,5873,5873
Ascon-AEAD128,1024,encrypt,20,7409.0,7409.0,7409,7409
Ascon-AEAD128,2048,encrypt,20,10481.0,10481.0,10481,10481
Ascon-AEAD128,4096,encrypt,20,16625.0,16625.0,16625,16625
