algorithm,message_size,operation,samples,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,batch_size,plaintext_size,ciphertext_size,ci95_half_width_ns,ci95_lower_ns,ci95_upper_ns,mean_us,median_us,throughput_mb_s_median,throughput_mb_s_mean,messages_per_second_median
AES-128-GCM,32,decrypt,500,1782.68,1917.5,214.94096127464243,1510.0,2620.0,2050.0,20,32,48,18.84040594192261,1763.8395940580774,1801.5204059419227,1.78268,1.9175,16.6883963494133,17.950501492135437,521512.38591916556
AES-128-GCM,64,decrypt,500,2687.08,1980.0,1505.1659119329304,1525.0,7840.0,5680.0,20,64,80,131.93360922270176,2555.146390777298,2819.0136092227017,2.68708,1.98,32.323232323232325,23.817675692573353,505050.50505050505
AES-128-GCM,128,decrypt,500,1879.2,1965.0,366.4280270366829,1550.0,7785.0,2090.0,20,128,144,32.11883271075403,1847.081167289246,1911.3188327107541,1.8792,1.965,65.13994910941476,68.11409110259684,508905.8524173028
AES-128-GCM,256,decrypt,500,2975.25,2015.0,1783.3743397198307,1580.0,8445.0,5780.5,20,256,272,156.31965311533992,2818.93034688466,3131.56965311534,2.97525,2.015,127.04714640198512,86.04318964792874,496277.91563275433
AES-128-GCM,512,decrypt,500,2430.69,2115.0,1221.626914625359,1710.0,6925.0,5910.0,20,512,528,107.08032031042887,2323.6096796895713,2537.770320310429,2.4306900000000002,2.115,242.080378250591,210.63977718261071,472813.23877068557
AES-128-GCM,1024,decrypt,500,2466.97,1940.0,1376.6900231860038,1820.0,16205.0,6030.0,20,1024,1040,120.6722010509549,2346.297798949045,2587.6422010509546,2.46697,1.94,527.8350515463918,415.0840910104298,515463.91752577317
AES-128-GCM,2048,decrypt,500,2983.96,2645.0,1231.5856140152412,2170.0,8155.0,6420.0,20,2048,2064,107.95323879951675,2876.006761200483,3091.913238799517,2.98396,2.645,774.2911153119093,686.3362779661926,378071.8336483932
AES-128-GCM,4096,decrypt,500,4337.9,3340.0,1628.9624081157026,2730.0,8265.0,7000.0,20,4096,4112,142.78485055166786,4195.115149448332,4480.684850551667,4.337899999999999,3.34,1226.3473053892214,944.2356900804538,299401.19760479045
Ascon-AEAD128,32,decrypt,10000,800554.31,842000.0,137488.78766683963,467100.0,1801000.0,874804.9999999999,1,32,48,2694.780238270057,797859.52976173,803249.0902382701,800.5543100000001,842.0,0.03800475059382423,0.039972303690426696,1187.648456057007
Ascon-AEAD128,64,decrypt,10000,981166.2,1027400.0,171587.562401,570400.0,3759600.0,1066509.9999999998,1,64,80,3363.1162230596,977803.0837769404,984529.3162230595,981.1662,1027.4,0.06229316721822075,0.06522850053334492,973.3307377846993
